Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
37,21r01a66a0,cmrit25_21r01a66a0,828,srilekha_152,165,2,66a0,1406,srilekha_152,1299,21r01a66a0,169,44.32%
38,21r01a67c0,cmrit25_21r01a67c0,837,21r01a67c0,169,0,21r01a67c0,1494,r01a67c0,1260,21r01a67c0,75,44.03%
39,21r01a67h9,cmrit25_21r01a67h9,858,21r01a67h9,159,0,21r01a67h9,1571,manaswini18,1320,@21r01a67h9,0,44.03%
40,21r01a6672,cmrit25_21r01a6672,849,21r01a6672,89,63,21r01a6672,1345,sanjana_6672,1261,21r01a6672,397,43.64%
41,21r01a66d6,cmrit25_21r01a66d6,916,21r01a66d6,103,4,cmr_21r01a66d6,1435,cmr_21r01a66d6,1280,21r01a66d6,205,43.24%
42,22r05a0503,22r05a0503,816,22r05a0503,135,38,22r05a0503,1568,s22r05a0503,1151,22r05a0503,166,43.24%
43,21r01a05j3,cmrit25_21r01a05j3,942,21r01a05j3,89,17,21r01a05j3,1478,sravani173,1393,21r01a05j3,75,43.03%
44,21r01a6712,rahuldrp,825,rahuldrp,133,22,rahuldrp,1317,rahuldrp,1454,rahuldrp,110,42.87%
45,22r05a0514,kodam1,1048,22r05a0514,89,0,22r05a0514,1427,kodam1,1212,22r05a0514,9,42.82%
46,21r01a0509,cmrit25_21r01a0509,774,21r01a0509,108,76,bhavani_2234,1379,bhavani_2234,1176,21r01a0509,309,42.21%
47,21r01a7348,cmrit25_21r01a7348,846,21r01a7348,143,18,21r01a7348,1500,keerthana_7348,985,21r01a7348,142,42.19%
48,21r01a05h6,cmrit25_21r01a05h6,809,21r01a05h6,178,3,21r01a05h6,1362,vaishnavi_5h6,1166,21r01a05h6,10,42.04%
49,21r01a0551,abhiram122002,1004,21r01a0551,0,124,abhiram_212,1578,abhiram_2023,1388,abhiram551,15,41.93%
50,21r01a0550,cmrit25_21r01a0550,853,21r01a0550,153,2,21r01a0550,1273,akhil_550,1220,21r01a0550,63,41.92%
51,21r01a6696,cmrit25_21r01a6696,857,21r01a6696,131,35,21r01a6696,1321,siddharth291,1139,21r01a6696,122,41.91%
52,21r01a0564,cmrit25_21r01a0564,851,akshitha12,117,36,akshitha12,1347,akshitha564,1286,21r01a0564,101,41.90%
53,21r01a67f9,cmrit25_21r01a67f9,808,21r01a67f9,120,0,karthikf9,1271,karthikf9,1115,21r01a67f9,422,41.90%
54,21r01a05m4,cmrit25_21r01a05m4,802,21r01acgdz,147,11,21r01a05m4,1445,sunil5m4,1307,21r01a05m4,27,41.90%
55,21r01a6618,cmrit25_21r01a6618,855,21r01a96ng,105,2,21r01a6618,1274,gs1103,1015,21r01a6618,456,41.85%
56,21r01a0545,cmrit25_21r01a0545,804,ravi21r01a0545,100,86,21r01a0545ravi,1383,ravi_1603,1314,21r01a0545,85,41.37%
57,21r01a6690,cmrit25_21r01a6690,863,21r01a10bg,106,32,21r01a6690,1383,kbaakash12345,1130,21r01a6690,107,40.75%
58,21r01a66e9,cmrit25_21r01a66e9,779,21r01a66e9,155,0,gandla_saikiran,1337,saikiran50412,1124,21r01a66e9,116,40.69%
59,21r01a0543,cmrit25_21r01a0543,922,21r01a0543,98,2,santhosh_76,1350,santhoshnayakm,1247,21r01a0543,26,40.63%
60,21r01a6758,cmrit25_21r01a6758,740,21r01a6758,135,29,nandhu2304,1238,nandhu2304,1077,21r01a6758,326,40.61%
61,21r01a7343,cmrit25_21r01a7343,742,21r01a7343,113,34,21r01a7343,1275,sruthi38,914,21r01a7343,459,40.04%
62,21r01a05k5,cmrit25_21r01a05k5,868,21r01a05k5,89,7,veerendra74,1433,veerendra74,1272,21r01a05k5,56,40.03%
63,21r01a6623,cmrit25_21r01a6623,711,kneharedo1ck,135,7,nehakalimela,1380,nehareddy1904,1023,21r01a6623,330,40.00%
64,21r01a05a3,cmrit25_21r01a05a3,976,21r01a05a3,34,21,21r01a05a3,1320,rahilsubhan,1298,21r01a05a3,136,39.93%
65,21r01a0566,cmrit25_21r01a0566,852,21r01a1fp0,89,15,gnanitha_annavarapu,1355,r01a0566,1261,21r01a0566,113,39.92%
66,22r05a0427,cmrit25_22r05a0427,847,22r05a08ms,58,12,sowmika_27,1510,sowmika_27,1258,22r05a0427,200,39.75%
67,21r01a05n8,cmrit25-21r01a05n8,827,karthik_51,82,20,karthik_51,1377,karthik_51,1407,21r01a05n8,53,39.58%
68,21r01a6677,cmrit25_21r01a6677,830,siddesh122,85,6,21r01a6677,1392,siddesh122,1454,21r01a6677,5,39.40%
69,21r01a7210,cmrit25_21r01a7210,834,pavan_10,63,5,pavan_7210,1408,sololeveler_10,1302,21r01a7210_pavan,188,39.16%
70,21r01a0534,cmrit25_21r01a0534,842,21r01a0534,49,39,21r01a0534,1321,cmrit_21r01a05,1116,21r01a0534,329,39.06%
71,21r01a66d5,cmrit25_21r01a66d5,892,21r01a66d5,39,50,21r01a66d5,1442,akhil7777,1073,21r01a66d5,196,38.97%
72,21r01a7342,cmrit25_21r01a7342,823,21r01a7nsm,0,83,21r01a7342,1291,cmr_21r01a7342,1441,21r01a7342,333,38.90%
73,21r01a0558,cmrit25_21r01a0558,806,nischaypq24,120,0,user0322sl,1299,nischayreddy,1251,nischayreddy_t,0,38.82%
74,21r01a05n7,cmrit25_21r01a05n7,758,21r01a05n7,100,11,21r01a05n7,1503,cmr_21r01a05n7,1301,21r01a05n7,15,38.59%
75,21r01a7251,cmrit25_21r01a7251,822,parvathamr94gs,10,25,21r01a7251,1411,ramcharan01,1216,21r01a7251,455,38.53%
76,21r01a6714,cmrit25_21r01a6714,765,21r01a6714,40,51,21r01a6714,1478,cmr_21r01a6714,1436,21r01a6714,158,38.47%
77,21r01a0536,cmrit25_21r01a0536,959,21r01a0536,0,4,21r01a0536,1469,akanksha_konga,1278,21r01a0536,177,38.44%
78,21r01a0514,cmrit2025_21r01a0514,725,21r01a0514,126,67,21r01a0514,1220,cmr_21r01a0514,1142,21r01a0514,45,38.29%
79,21r01a66e2,cmrit25_21r01a66e2,916,21r01a66e2,60,6,21r01a66e2,1403,sh21r01a66e2,1060,21r01a66e2,90,38.28%
80,21r01a0593,cmrit25_21r01a0593,948,pavish2xqq,65,22,21r01a0593,1271,vishnu_593,1090,@kvv21r01a0593,0,38.17%
81,22r05a0520,cmrit25_22r05a0520,911,cmrit25_22r05a0520,47,26,22r05a0520,1222,ramupalla912,1099,22r05a0_520,196,38.16%
82,21r01a67j3,cmrit25_21r01a67j3,855,21r01a67j3,0,0,21r01a67j3,1487,sasaank7,1345,21r01a67j3,326,38.10%
83,21r01a67g9,cmrit25_21r01a67g9,874,21r01a67g9,25,0,narendra_3,1378,narendra3,1360,21r01a67g9,179,37.92%
84,21r01a6666,cmrit25_21r01a6666,883,21r01a6666,49,0,21r01a6666,1354,cmr_21r01a6666,1215,21r01a6666,125,37.86%
85,21r01a05j6,cmrit25_21r01a05j6,776,21r01awu1y,90,11,21r01a05j6,1415,hima21r01a05j6,1304,21r01a05j6,5,37.84%
86,22r05a6613,cmrit25_22r05a6613,867,22r05a6613,50,25,22r05a6613,1403,cmr_22r05a6613,1089,22r05a6613,122,37.62%
87,21r01a0549,cmrit25_21r01a0549,884,21r01as4mb,28,21,harshithhreddy,1501,harshithreddy4,1227,21r01a0549,65,37.56%
88,21r01a66f9,cmrit25_21r01a66f9,773,21r01a66f9,67,4,21r01a66f9,1452,nithin421,1425,21r01a66f9,29,37.56%
89,21r01a05h3,cmrit25_21r01a05h3,867,prashanthn60z,56,0,prashanth_padige07,1362,prashanth64,1318,21r01a05h3,12,37.51%
90,21r01a66h0,cmrit25_21r01a66h0,873,shivakumar_245,0,31,21r01a66h0,1513,shivakumar_245,1210,21r01a66h0,221,37.50%
91,21r01a6676,cmrit25_21r01a6676,876,21r01a0lxc,10,18,21r01a6676,1430,navaketanb1910,1230,21r01a6676,197,37.22%
92,22r05a0406,cmrit25_22r05a0406,875,22r05a8g5o,20,1,22r05a0406,1488,akhilreddy_13,1351,22r05a0406,68,37.20%
93,21r01a6683,manohar_eldhandi,894,21r01a6683,65,0,manohareldhandi,1396,mano2003,1004,21r01a6683,51,37.18%
94,21r01a7258,cmrit25_21r01a7258,902,somajhansi6504,10,2,somajhansi7258,1429,anonymous44,1398,21r01a7258,50,37.03%
95,21r01a05a6,cmrit25_21r01a05a6,943,harishblia,10,15,21r01a05a6,1240,harishgo764,1314,harishgo764,84,36.93%
96,21r01a6761,cmrit25_21r01a6761,832,ganesh_61,9,6,ganesh_61,1498,ganesh_61,1174,21r01a6761,293,36.92%
97,21r01a67k3,cmrit25_21r01a67k3,757,21r01a67k3,89,1,charan_k3,1379,v21r01a67k3,1304,charan_k3,0,36.90%
98,22r05a0501,cmrit25_22r05a0501,828,abbagouni22501,39,6,22r05a0501,1358,bhavani2003,1233,22r05a0501,173,36.89%
99,21r01a0559,cmrit25_21r01a0559,857,21r01a0559,39,0,21r01a0559,1354,sravani1304,1330,21r01a0559,60,36.86%
100,21r01a0563,21r01a0563,830,21r01a0563,60,0,21r01a0563,1401,shivathmika63,993,21r01a0563,191,36.86%
101,21r01a05p5,cmrit25_21r01a05p5,845,21r01a05p5,59,18,21r01a05p5,1209,cmr_21r01a05p5,1165,21r01a05p5,119,36.83%
102,21r01a0533,cmrit25_21r01a0533,839,21r01a0533,29,35,21r01a0533,1327,harikakaranam,1316,21r01a0533,91,36.80%
103,21r01a05m5,cmrit25_21r01a05m5,869,21r01a05m5,40,24,21r01a05m5,1410,hemanth_463,1034,21r01a05m5,122,36.79%
104,22r05a0521,cmrit25_22r05a0521,765,22r05a0521,50,31,22r05a0521,1400,dhanu521,1187,22r05a0521,179,36.75%
105,21r01a05e5,cmrit25_21r01a05e5,828,cmrit25_21r01a05e5,57,4,21r01a05e5,1436,csashish,1195,21r01a05e5,39,36.75%
106,21r01a05p4,cmrit25_21r01a05p4,817,21r01a05p4,59,16,21r01a05p4,1314,cmr_21r01a05p4,1110,21r01a05p4,147,36.71%
107,21r01a0557,cmrit25_21r01a0557,874,thada_preethi,0,28,21r01a0557,1451,cmr_21r01a0557,1264,21r01a0557,140,36.65%
108,21r01a67b5,21r01a67b5,871,21r01a2k2z,29,17,21r01a67b5,1521,cmr21r01a67b5,1075,21r01a67b5,80,36.56%
109,21r01a6715,vivekdunuka,748,vivek_6715,89,2,dunukavivek,1381,vivekdunuka,1270,21r01a6715,0,36.53%
110,21r01a05j1,cmrit25_21r01a05j1,833,21r01a05j1,50,0,21r01a05j1,1493,srikar741,1217,21r01a05j1,0,36.46%
111,21r01a05d2,rana_9325,809,21r01a0ybx,50,0,21r01a05d2,1513,rana_9325,1274,21r01a05d2,0,36.43%
112,21r01a67a4,cmrit25_21r01a67a4,903,,0,0,meghana_939,1427,meghana_939,1311,21r01a67a4,102,36.41%
113,22r05a0416,cmrit25_22r05a0416,771,22r05a8kn1,20,5,22r05a0416,1561,charithasree27,1245,22r05a0416,230,36.40%
114,21r01a04e6,cmrit25_21r01a04e6,715,gmuma_16,10,97,gmumamaheswararao,1489,gmuma_16,1068,21r01a04e6,339,36.35%
115,21r01a67h6,cmrit25_21r01a67h6,728,ramana67h6,0,7,21r01a67h6,1546,ramana67h6,1363,21r01a67h6,347,36.23%
116,21r01a66h8,cmrit25_21r01a66h8,958,,0,0,akshayram,1426,akshayram,1096,21r01a66h8,93,36.14%
117,21r01a67f8,cmrit_21r01a67f8,868,21r01a67f8,10,9,sathwikakoduri,1572,sathwikakoduri,1274,@21r01a67f8,0,36.04%
118,21r01a0508,cmrit25_21r01a0508,820,21r01a0508,38,0,21r01a0508,1309,vishnupriya508,1368,21r01a0508,55,35.96%
119,22r05a0401,cmrit25_22r05a0401,700,22r05a0401,48,63,22r05a0401,1432,cmr_22r05a0401,1117,22r05a0401,195,35.91%
120,21r01a0523,21r01a0523,850,21r01a0523,0,0,vedaprathik23,1597,vedaprathik23,1362,21r01a0523,30,35.88%
121,21r01a0552,21r01a0552,837,21r01a0552,30,1,21r01a0552,1438,shravani52,1011,21r01a0552,206,35.86%
122,21r01a67f6,21r01a67f6,879,21r01a67f6,10,0,akshaj06,1501,cmr_21r01a67f6,1306,akshaj,0,35.86%
123,21r01a6687,cmrit25_21r01a6687,773,21r01a6687,19,56,ashwitha1702,1420,ashwitha3610,823,21r01a6687,408,35.85%
124,21r01a6796,21r01a6796,856,21r01a6796,20,0,21r01a6796,1540,jukantisoumya9,1180,21r01a6796,50,35.83%
125,21r01a6719,cmrit25_21r01a6719,776,21r01amvt4,0,430,21r01a6719,0,pujitha567,1209,21r01a6719,194,35.83%
126,21r01a6795,cmrit25_21r01a6795,896,,0,0,upendra456,1550,upendra456,1159,21r01a6795,50,35.51%
127,22r05a6618,cmrit25_22r05a6618,766,22r05a1feu,70,12,naveen1008,1314,velpulanaveen9,1107,22r05a6618,80,35.48%
128,21r01a7309,cmrit25_21r01a7309,876,21r01a7309,0,0,21r01a7309,1586,abhinav_781,1179,21r01a7309,35,35.28%
129,21r01a66b0,cmrit25_21r01a66b0,782,21r01ae3yc,10,100,21r01a66b0,1416,yashwanthh,1003,21r01a66b0,149,35.19%
130,21r01a7360,thumusanjay000,820,thumusanjay000,0,0,tumusanjay000,1586,tumusanjay,1390,thumusanjay000,0,35.07%
131,21r01a05f1,cmrit25_21r01a05f1,852,21r01a05f1,10,36,21r01a05f1,1368,vynika2004,1037,21r01a05f1,139,35.02%
132,21r01a6765,cmrit25_21r01a6765,903,21r01a6765,0,0,21r01a6765,1351,h21r01a6765,1175,21r01a6765,90,35.01%
133,21r01a0410,21r01a0410,812,21r01a0410,30,4,21r01a0410,1522,shivani_0410,1132,21r01a0410,32,34.96%
134,21r01a67b1,cmrit25_21r01a67b1,822,21r01ari5z,30,0,21r01a67b1,1554,cmr_21r01a67b1,1091,21r01a67b1,20,34.89%
135,22r05a0402,cmrit25_22r05a0402,754,22r05a0402,40,10,22r05a0402,1483,nikhil402,1253,22r05a0402,25,34.89%
136,21r01a05g6,cmrit25_21r01a05g6,722,21r01a05g6,50,22,21r01a05g6,1377,cmr_21r01a05g6,1193,21r01a05g6,107,34.84%
137,21r01a7301,cmrit25_21r01a7301,754,21r01ao4pu,35,0,ab031,1568,ab013,1065,21r01a7301,120,34.61%
138,21r01a66b5,cmrit25_21r01a66b5,744,21r01ax5wh,88,0,21r01a66b5,1253,jagadeesh55,1049,21r01a66b5,35,34.57%
139,21r01a6685,cmrit25_21r01a6685,812,koushik_04,0,0,koushik2003,1430,saikoushik04,1315,21r01a6685,103,34.53%
140,21r01a6689,cmrit25_21r01a6689,783,21r01a6689,0,31,ashwini_21r01a6689,1372,ashu21r01a6689,1068,21r01a6689,279,34.46%
141,21r01a67j7,cmrit25_21r01a67j7,780,manohar7j7,18,29,21r01a67j7,1349,cmr_21r01a67j7,1111,21r01a67j7,165,34.37%
142,21r01a6693,21r01a6693,785,21r01alz21,10,4,adithya2210,1368,adithya2210,1281,21r01a6693,133,34.32%
143,21r01a04m3,cmrit-25-21r01a04m3,788,21r01a04m3,10,32,21r01a04m3,1298,swetha214m3,1038,21r01a04m3,252,34.27%
144,21r01a6669,cmrit25_21r01a6669,800,21r01apm60,145,12,21r01a6669,1288,21r01a6669,0,21r01a6669,182,34.21%
145,21r01a67g3,cmrit25_21r01a67g3,599,mayaanambiar,80,0,maya_g3,1314,maya_g3,940,21r01a67g3,392,34.17%
146,21r01a66b1,cmrit25_21r01a66b1,803,21r01a66b1,10,0,21r01a66b1,1345,nishanth069,1212,21r01a66b1,141,34.13%
147,21r01a0544,cmrit25_21r01a0544,789,21r01a0544,20,27,sushma_2374,1375,sushma_2374,998,21r01a0544,167,34.09%
148,22r05a6611,cmrit25_22r05a6611,843,22r05a6611,10,19,22r05a6611,1336,sinu19,1043,22r05a6611,117,34.08%
149,21r01a6764,cmrit25_21r01a6764,832,21r01a6764,58,102,21r01a6764,0,vyshnavi6764,1458,21r01a6764,190,34.06%
150,21r01a0585,21r01a0585,804,21r01a0585,0,8,agent_storm,1445,agent_storm,1379,agent_storm10,0,34.05%
151,21r01a7233,cmrit25_21r01a7233,809,siddu99,9,8,21r01a7233,1425,siddu99,1269,21r01a7233,20,34.04%
152,21r01a6635,cmrit25_21r01a6635,873,mdabdulkadeer,0,11,mdabdulkadeer,1266,mdabdulkadeer,1113,21r01a6635,115,34.00%
153,21r01a7209,21r01a7209,770,21r01a7209,20,17,sindhu_21r01a7209,1331,sindhuja_9849,1079,21r01a7209,197,34.00%
154,21r01a6798,21r01a6798,868,21r01a6798,0,0,vandana_27,1514,vandana2702,1114,21r01a67981,0,33.95%
155,21r01a6649,cmrit25_21r01a6649,806,vinay2605,0,16,vinay2605,1427,vinay2605,1172,21r01a6649,110,33.94%
156,21r01a05d6,cmrit25_21r01a05d6,763,21r01a05d6,69,0,21r01a05d6,1344,julie14,994,21r01a05d6,15,33.92%
157,21r01a05r6,cmrit25_21r01a05r6,794,21r01a05r6,10,17,21r01a05r6,1439,cmr_21r01a05r6,1093,21r01a05r6,119,33.91%
158,21r01a6699,cmrit25_21r01a6699,835,21r01ay00k,0,0,aparna_235,1421,aparna_235,1000,21r01a6699,194,33.88%
159,21r01a7263,gaurav_saiteja,842,,0,0,gaurav_saiteja,1404,gaurav_saiteja,1282,gaurav_saiteja,0,33.83%
160,21r01a66a5,cmrit25_21r01a66a5,810,21r01al8fu,0,0,21r01a66a5,1322,cmr_21r01a66a5,1326,21r01a66a5,90,33.82%
161,21r01a05e1,charan_boga,721,21r01a05e1,49,19,21r01a05e1,1420,cmr_21r01a05e1,942,21r01a05e1,149,33.78%
162,21r01a6665,21r01a6665,767,21r01a6665,37,34,abhishekabramaina,1343,abhishek202002,1084,21r01a6665,31,33.76%
163,21r01a7313,21r01a7313,885,21r01a7313,0,11,21r01a7313,1512,jay21r01a7313,910,21r01a7313,45,33.72%
164,21r01a0574,21r01a0574,711,21r01a0574,69,18,21r01a0574,1298,cmr_21r01a0574,1006,21r01a0574,70,33.58%
165,21r01a66a3,21r01a66a3,765,21r01aup3f,10,30,21r01a66a3,1404,manisha_75,1073,21r01a66a3,145,33.53%
166,21r01a0416,cmrit25_21r01a0416,655,shashank416,20,26,shashankgurram03,1418,gshashank416,1395,21r01a0416,121,33.51%
167,21r01a66a6,cmrit25_21r01a66a6,846,21r01ac1bc,0,37,yousufansari,1412,yousufansari,1059,@21r01a66a6,0,33.42%
168,21r01a67h4,cmrit25-21r01a67h4,833,21r01acdlh,0,0,pranay_kumar45,1375,pranaykumar45,1203,21r01a67h4,42,33.38%
169,21r01a6602,21r01a6602,774,21r01a6602,19,13,cmr_21r01a6602,1382,cmr_21r01a6602,879,21r01a6602,227,33.26%
170,21r01a6766,cmrit25_21r01a6766,827,,0,0,srinidhi_12,1472,jerry1002,1177,cmrit25_21r01a6766,0,33.24%
171,21r01a0417,cmrit25_21r01a0417,658,21r01a0417,19,14,21r01a0417,1420,hanumanth4410,1381,21r01a0417,128,33.23%
172,21r01a66g1,cmrit25_21r01a66g1,702,21r01a66g1,30,33,21r01a66g1,1489,pavan138,949,21r01a66g1,162,33.23%
173,21r01a0429,cmrit25_21r01a0429,422,21r01a0429,149,6,21r01a0429,1445,cmr_21r01a0429,1221,21r01a0429,15,33.20%
174,21r01a6634,cmrit25_21r01a6634,723,21r01a6634,192,1,nikitha92,1297,nikitha92,0,nikithareddy,0,33.19%
175,21r01a7262,cmrit25_21r01a7262,800,21r01a7262,0,9,21r01a7262,1408,sai_vivek04,1059,21r01a7262,132,33.04%
176,22r05a0518,22r05a0518,861,22r05a0518,0,0,22r05a0518,1533,venu22r05a0518,896,22r05a0518,50,33.03%
177,21r01a05j7,vishnuabhi,706,21r01a05j7,40,2,cmr_21r01a05j7,1489,vishnu_5j7,1177,21r01a05j7,0,33.01%
178,21r01a0458,prasad58,492,21r01a0458,60,24,21r01a0458,1481,prasad71,1321,21r01a0458,212,32.97%
179,21r01a6619,cmrit__2521r01a6619,826,sricharanteja,0,8,21r01a6619,1482,sricharanteja9,1057,21r01a6619,25,32.95%
180,21r01a6670,cmrit25_21r01a6670,805,vidhya_6670,0,0,vidhya_6670,1383,vidhya_6670,1285,vidhya_6670,0,32.94%
181,21r01a05m7,21r01a05m7,805,21r01a05m7,0,8,21r01a05m7,1409,prasad_00,1071,21r01a05m7,82,32.73%
182,21r01a0484,cmrit25_21r01a0484,760,akankshagof5fs,0,0,akanksha2k23,1509,akanksha2k23,834,21r01a0484,295,32.73%
183,21r01a7347,sadanand26,806,21r01aeapc,0,31,21r01a7347,1306,sadanand26,1069,21r01a7347,75,32.62%
184,21r01a0528,cmrit25_21r01a0528,0,21r01a0528,190,235,21r01a0528,1392,k_prakashraj17,1334,21r01a0528,50,32.58%
185,21r01a6725,cmrit25_21r01a6725,710,rakesh_2425,29,0,rakesh_2425,1390,rakesh_2425,1259,rakesh_2425,0,32.39%
186,22r05a6603,cmrit25_22r05a6603,756,cheedallaso5l0,0,0,srinidhi_cheedalla,1558,srinidhi89,1195,cheedallasrinidhi22r05a6603,0,32.34%
187,21r01a05d8,b_sai_charan99,585,21r01a4moz,70,0,21r01a05d8,1418,sai21r01a05d8,1265,21r01a05d8cmrit1,0,32.18%
188,21r01a7317,21r01a7317,751,21r01a7317,30,0,21r01a7317,1339,sridhar7317,1063,21r01a7317,35,32.13%
189,21r01a67a3,cmrit25_21r01a67a3,828,21r01aebz4,0,0,21r01a67a3,1481,v21r01a67a3,942,21r01a67a3,25,32.09%
190,21r01a05f0,cmrit25_21r01a05f0,741,21r01a05f0,0,0,explorer245,1658,explorer245,1103,21r01a05f0,5,32.07%
191,21r01a66f4,cmrit25_21r01a66f4,741,21r01a66f4,10,0,teja_sri26,1353,teja_sri26,1101,21r01a66f4,128,32.04%
192,21r01a04f6,cmrit25_21r01a04f6,708,21r01a04f6,9,0,21r01a04f6,1363,pranish_f6,1093,21r01a04f6,194,31.93%
193,21r01a05d7,cmrit25_21r01a05d7,779,21r01a05d7,20,2,21r01a05d7,1372,akanksha_0304,995,21r01a05d7,15,31.80%
